code	name
CL-ML	マウレ
CL-TA	タラパカ
CL-VS	バルパライソ
CM-AD	アダマワ州
CM-EN	極北州
CM-ES	東部州
CM-LT	リトラル
CM-NO	北部州
CM-OU	西部州
CM-SU	南部州
CM-SW	南西州
CN-AH	アンホイ(安徽)
CN-BJ	ペキン(北京)
CN-CQ	チョンチン(重慶)
CN-FJ	フーチエン(福建)
CN-GD	コワントン(広東)
CN-GS	カンスー(甘粛)
CN-GZ	コイチョウ(貴州)
CN-HA	ホーナン(河南)
CN-HB	フーペイ(湖北)
CN-HE	ホーペイ(河北)
CN-HI	ハイナン(海南)
CN-HL	ヘイロンチアン(黒竜江)
CN-HN	フーナン(湖南)
CN-JL	チーリン(吉林)
CN-JS	チアンスー(江蘇)
CN-JX	チアンシー(江西)
CN-LN	リアオニン(遼寧)
CN-NM	内モンゴル(内蒙古)
CN-NX	チベット(西蔵)
CN-QH	チンハイ(青海)
CN-SC	スーチョワン(四川)
CN-SD	シャントン(山東)
CN-SH	シャンハイ(上海)
CN-SN	シャンシー(陝西)
CN-SX	シャンシー(山西)
CN-TJ	ティエンチン(天津)
CN-TW	ハイナン(海南)
CN-XZ	チベット(西蔵)
CN-YN	ユンナン(雲南)
CN-ZJ	チョーチアン(浙江)
CO-AMA	アマゾナス
CO-ANT	アンティオキア
CO-ARA	アラウカ
CO-ATL	アトランティコ
CO-BOL	ボリバル
CO-CAL	カルダス
CO-CAQ	カケタ
CO-CAS	カサナレ
CO-CAU	カウカ
CO-CES	セサール
CO-CHO	チョコ
CO-COR	コルドバ
CO-DC	ボゴタ
CO-GUA	グアイニア
CO-GUV	グアビアレ
CO-HUI	ウイラ
CO-MAG	マグダレナ
CO-MET	メタ
CO-NAR	ナリーニョ
CO-NSA	ノンテデサンタンデール
CO-PUT	プトゥマジョ
CO-QUI	キンディオ
CO-RIS	リサラルダ
CO-SAN	サンタンデール
CO-SUC	スクレ
CO-TOL	トリマ
CO-VAU	バウペス
CO-VID	ビチャダ
CR-A	アラフエラ
CR-C	カルタゴ
CR-G	グアナカステ
CR-H	エレディア
CR-L	リモン
