# Generated by scripts/generate_legacy_iab_mapping.py.
# Re-run if 2_1.tsv or 3_0.tsv change.
# Empty v30_id with match_type=descriptive-vector-dropped means the
# legacy id was a Channel/Type/Media-Format/Language/Source/Source-Geo
# descriptor that 3.0 removed from topical content. Drop on migrate.
legacy_id	v30_id	label	match_type
522	522	Summer Olympic Sports	id-preserved
523	523	Winter Olympic Sports	id-preserved
524	524	Poker and Professional Gambling	id-preserved
525	525	Rodeo	id-preserved
526	526	Rowing	id-preserved
527	527	Rugby	id-preserved
528	528	Rugby League	id-preserved
529	529	Rugby Union	id-preserved
530	530	Sailing	id-preserved
531	531	Skiing	id-preserved
532	532	Snooker/Pool/Billiards	id-preserved
533	533	Soccer	id-preserved
534	534	Badminton	id-preserved
535	535	Softball	id-preserved
536	536	Squash	id-preserved
537	537	Swimming	id-preserved
538	538	Table Tennis	id-preserved
539	539	Tennis	id-preserved
540	540	Track and Field	id-preserved
541	541	Volleyball	id-preserved
542	542	Walking	id-preserved
543	543	Water Polo	id-preserved
544	544	Weightlifting	id-preserved
545	545	Baseball	id-preserved
546	546	Wrestling	id-preserved
547	547	Basketball	id-preserved
548	548	Beach Volleyball	id-preserved
549	549	Bodybuilding	id-preserved
550	550	Bowling	id-preserved
551	551	Sports Equipment	id-preserved
552	552	Style & Fashion	id-preserved
553	553	Beauty	id-preserved
554	554	Hair Care	id-preserved
555	555	Makeup and Accessories	id-preserved
556	556	Nail Care	id-preserved
557	557	Natural and Organic Beauty	id-preserved
558	558	Perfume and Fragrance	id-preserved
559	559	Skin Care	id-preserved
560	560	Women's Fashion	id-preserved
561	561	Women's Accessories	id-preserved
562	562	Women's Glasses	id-preserved
563	563	Women's Handbags and Wallets	id-preserved
564	564	Women's Hats and Scarves	id-preserved
565	565	Women's Jewelry and Watches	id-preserved
566	566	Women's Clothing	id-preserved
567	567	Women's Business Wear	id-preserved
568	568	Women's Casual Wear	id-preserved
569	569	Women's Formal Wear	id-preserved
570	570	Women's Intimates and Sleepwear	id-preserved
571	571	Women's Outerwear	id-preserved
572	572	Women's Sportswear	id-preserved
573	573	Women's Shoes and Footwear	id-preserved
574	574	Body Art	id-preserved
575	575	Children's Clothing	id-preserved
576	576	Designer Clothing	id-preserved
577	577	Fashion Trends	id-preserved
578	578	High Fashion	id-preserved
579	579	Men's Fashion	id-preserved
580	580	Men's Accessories	id-preserved
581	581	Men's Jewelry and Watches	id-preserved
582	582	Men's Clothing	id-preserved
583	583	Men's Business Wear	id-preserved
584	584	Men's Casual Wear	id-preserved
585	585	Men's Formal Wear	id-preserved
586	586	Men's Outerwear	id-preserved
587	587	Men's Sportswear	id-preserved
588	588	Men's Underwear and Sleepwear	id-preserved
589	589	Men's Shoes and Footwear	id-preserved
590	590	Personal Care	id-preserved
591	591	Bath and Shower	id-preserved
592	592	Deodorant and Antiperspirant	id-preserved
593	593	Oral care	id-preserved
594	594	Shaving	id-preserved
595	595	Street Style	id-preserved
596	596	Technology & Computing	id-preserved
597	597	Artificial Intelligence	id-preserved
598	598	Augmented Reality	id-preserved
599	599	Computing	id-preserved
600	600	Computer Networking	id-preserved
601	601	Computer Peripherals	id-preserved
602	602	Computer Software and Applications	id-preserved
603	603	3-D Graphics	id-preserved
604	604	Photo Editing Software	id-preserved
605	605	Shareware and Freeware	id-preserved
606	606	Video Software	id-preserved
607	607	Web Conferencing	id-preserved
608	608	Antivirus Software	id-preserved
609	609	Browsers	id-preserved
610	610	Computer Animation	id-preserved
611	611	Databases	id-preserved
612	612	Desktop Publishing	id-preserved
613	613	Digital Audio	id-preserved
614	614	Graphics Software	id-preserved
615	615	Operating Systems	id-preserved
616	616	Data Storage and Warehousing	id-preserved
617	617	Desktops	id-preserved
618	618	Information and Network Security	id-preserved
619	619	Internet	id-preserved
620	620	Cloud Computing	id-preserved
621	621	Web Development	id-preserved
622	622	Web Hosting	id-preserved
623	623	Email	id-preserved
624	624	Internet for Beginners	id-preserved
625	625	Internet of Things	id-preserved
626	626	IT and Internet Support	id-preserved
627	627	Search	id-preserved
628	628	Social Networking	id-preserved
629	629	Web Design and HTML	id-preserved
630	630	Laptops	id-preserved
631	631	Programming Languages	id-preserved
632	632	Consumer Electronics	id-preserved
633	633	Cameras and Camcorders	id-preserved
634	634	Home Entertainment Systems	id-preserved
635	635	Smartphones	id-preserved
636	636	Tablets and E-readers	id-preserved
637	637	Wearable Technology	id-preserved
638	638	Robotics	id-preserved
639	639	Virtual Reality	id-preserved
640	640	Television	id-preserved
641	641	Animation TV	id-preserved
642	642	Soap Opera TV	id-preserved
643	643	Special Interest TV	id-preserved
644	640	Sports TV	ancestor
645	645	Children's TV	id-preserved
646	646	Comedy TV	id-preserved
647	647	Drama TV	id-preserved
648	648	Factual TV	id-preserved
649	649	Holiday TV	id-preserved
650	650	Music TV	id-preserved
651	651	Reality TV	id-preserved
652	652	Science Fiction TV	id-preserved
653	653	Travel	id-preserved
654	654	Travel Accessories	id-preserved
655	655	Travel Locations	id-preserved
656	656	Africa Travel	id-preserved
657	657	Asia Travel	id-preserved
658	658	Australia and Oceania Travel	id-preserved
659	659	Europe Travel	id-preserved
660	660	North America Travel	id-preserved
661	661	Polar Travel	id-preserved
662	662	South America Travel	id-preserved
663	663	Travel Preparation and Advice	id-preserved
664	664	Travel Type	id-preserved
665	665	Adventure Travel	id-preserved
666	666	Family Travel	id-preserved
667	667	Honeymoons and Getaways	id-preserved
668	668	Hotels and Motels	id-preserved
669	669	Rail Travel	id-preserved
670	670	Road Trips	id-preserved
671	671	Spas	id-preserved
672	672	Air Travel	id-preserved
673	673	Beach Travel	id-preserved
674	674	Bed & Breakfasts	id-preserved
675	675	Budget Travel	id-preserved
676	676	Business Travel	id-preserved
677	677	Camping	id-preserved
678	678	Cruises	id-preserved
679	679	Day Trips	id-preserved
680	680	Video Gaming	id-preserved
681	681	Console Games	id-preserved
